Nhắn tin trực tiếp cho SHINE SHOP hoặc vào trang Facebook,,,,,,,
SẢN PHẨM,LOGO,GÓI,ĐƠN GIÁ,,BẢO HÀNH,KHUYẾN MÃI,GHI CHÚ
,,, 12 tháng,400.000₫,,,
,,,LIFE TIME,555.555₫,,,
,,,,,,,
"CHINESESKILL
(chính chủ)",,PREMIUM,1 tháng,100.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,, 6 tháng,400.000₫,,,
,,,12 tháng,600.000₫,,,
,,,,,,,
SUPERCHINESE,,PLUS,,,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,CHAO,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"HELLOCHINESE
(chính chủ)",,PREMIUM,1 tháng,140.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,3 tháng,310.000₫,,,
,,,12 tháng,850.000₫,,,
,,PREMIUM+,1 tháng,250.000₫,,,
,,,6 tháng,1.100.000₫,,,
,,,12 tháng,1.700.000₫,,,
,,,,,,,
"ZOOM WORKPLACE
PRO",,Tài khoản sẵn,28 ngày,50.000₫,Bảo hành toàn bộ thời gian sử dụng,,Tài khoản dùng thử hai lần 14 ngày
,,Chính chủ,1 tháng,150.000₫,,,Loại xịn
,,,12 tháng,1.500.000₫,,,
,,,,,,,
"TRUECALLER
(chính chủ)",,PREMIUM,12 tháng,90.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,,,,,,
"OFFICE 365
(chính chủ)",,OFFICE & 1TB ONEDRIVE,12 tháng,250.000₫,Bảo hành toàn bộ thời gian sử dụng,,
,,,,,,,
,,,,,,,
,,,,,,,
"FONOS
(chính chủ)",,PREMIUM,,,Bảo hành toàn bộ thời gian sử dụng,,
